size;train_loss;test_loss
2;17.892776960373997;7.379237422812897
3;18.560686245331343;8.41710596306163
4;17.503799123302294;6.787884155282656
5;17.938061080883713;7.664913115623085
6;18.0516;8.1132
7;17.95020401232508;7.352093570690769
8;17.840062021314722;7.018550201013758
9;17.71424164103144;7.417570917750213
10;17.802950485888797;7.382519615109217
11;17.829521538100373;7.2862152042885455
12;17.985902486452403;7.8444919981233365
13;17.78900498405661;7.283921402007886
14;17.955352242863597;7.437408406079702
15;17.672797302867938;7.396067307815128
16;19.598758614707968;9.178473243502896
17;18.55952649792507;8.338811596077104
18;18.400173168624594;8.294068636110389
19;18.194810643756103;7.549706883504321
20;17.54664045235268;6.88191594040773
21;17.573452732631196;7.072478392162118
22;18.563903420777272;8.279251388120466
